secondary_structure,group,n,mean_error,pct_utilization_failure,pct_content_failure
helix,buried_charge_changing,4672,4.648873458012548,90.94606164383562,9.05393835616438
helix,all_other_buried,15042,3.6827542954329964,91.64339848424412,8.356601515755884
loop,buried_charge_changing,4229,4.565999178208573,85.33932371719082,14.660676282809177
loop,all_other_buried,16126,3.5362532080521403,83.4924965893588,16.507503410641206
sheet,buried_charge_changing,2840,4.273625829144449,87.88732394366198,12.112676056338017
sheet,all_other_buried,9516,3.1521732560306037,87.62084909625894,12.379150903741063
